STT,Phiếu xuất kho,Ngày xuất kho,Khách hàng,Hợp đồng (PO),Mã sản phẩm,Tên sản phẩm,S/N,Tên pallet,Ngày hết hạn bảo hành,Status,Ghi chú
1,LMT_2111001,11/18/2021,Kim Vinh Hưng,,MEA10131001R,C 32 2 P 11.2 S3 B3 M 3LB 4,VN01211155599,BPT_47A08,11/18/2022,hết bảo hành,
2,LMT_2111002,11/19/2021,Hồng Anh,,2G28010651,W 86 U 10 P90 B5 B3,VN01210017374,BPT_13A03,11/19/2022,hết bảo hành,
3,LMT_2111002,11/19/2021,Hồng Anh,,2G28010651,W 86 U 10 P90 B5 B3,VN01210017372,BPT_13A03,11/19/2022,hết bảo hành,
4,LMT_2111002,11/19/2021,Hồng Anh,,831120106,BN 90LA 4 B5 IP55,VN08180008987635035,BPT_13A03,11/19/2022,hết bảo hành,
5,LMT_2111002,11/19/2021,Hồng Anh,,831120106,BN 90LA 4 B5 IP55,VN08180008987635037,BPT_13A03,11/19/2022,hết bảo hành,
6,LMT_2111002,11/19/2021,Hồng Anh,,#N/A,#N/A,BVNFCW86210001,#N/A,11/19/2022,hết bảo hành,Spare Part
7,LMT_2111002,11/19/2021,Hồng Anh,,#N/A,#N/A,BVNFCW86210002,#N/A,11/19/2022,hết bảo hành,Spare Part
8,LMT_2111003,11/18/2021,Casablanca Việt Nam,,200670031,VF 49 F2 7 P71 B5 B3,B03202477225,BPT_01A01,11/18/2022,hết bảo hành,
9,LMT_2111004,11/18/2021,Phenikaa Huế,,ME1706420029,C 41 3 UFB 102.3 P80 B5 BN 80B 4,VN01211117397,BPT_47A06,11/18/2022,hết bảo hành,
10,LMT_2111005,11/18/2021,Tôn Hòa Phát,,M37880330009,VFR 49 P1 300 P63 B5 B3 BN 63A 4,VN012111010829,BPT_47A08,11/18/2022,hết bảo hành,
11,LMT_2111006,11/18/2021,Huy Thông,,2E150551580002,C 41 2 UFA 28.3 P100 V1 DL,VN01211117471,BPT_47A03,11/18/2022,hết bảo hành,
12,LMT_2111006,11/18/2021,Huy Thông,,831320100,BN 100LA 4 B5 IP55,VN08180008987625038,BPT_01A04,11/18/2022,hết bảo hành,
13,LMT_2111006,11/18/2021,Huy Thông,,ME1505510015,C 41 2 UFA 28.3 S3 V1 DL M 3LA 4,VN01210926270,BPT_09A01,11/18/2022,hết bảo hành,
14,LMT_2111007,11/26/2021,Vina Kraft,PO_6421031372,2G20010651,W 63 U 10 P90 B5 B3,BRI03190007960987009,BPT_06A04,11/26/2022,hết bảo hành,
15,LMT_2111007,11/26/2021,Vina Kraft,PO_6421031372,#N/A,#N/A,BVNFCW63210001,#N/A,11/26/2022,hết bảo hành,Spare Part
16,LMT_2111007,11/26/2021,Vina Kraft,PO_6421031111,VE02C02210001,V 0.5 F D14 P71 B3 1,IT04210000108116070012,BPT_47A08,11/26/2022,hết bảo hành,
17,LMT_2111007,11/26/2021,Vina Kraft,PO_6421031111,200450063,VF 44 F1 10 P71 B5 B3,B03202654723,BPT_05A05,11/26/2022,hết bảo hành,
18,LMT_2111008,11/27/2021,Thép Nam Kim 2,PO_4000008919,210310272,AS 16 P 20.96 071 B5 B3,IN22210000108924140001,BPT_47A08,11/27/2022,hết bảo hành,
19,LMT_2111008,11/27/2021,Thép Nam Kim 2,PO_4000008919,210310272,AS 16 P 20.96 071 B5 B3,IN22210000108924140002,BPT_47A08,11/27/2022,hết bảo hành,
20,LMT_2111008,11/27/2021,Thép Nam Kim 2,PO_4000008919,830720106,BN 71B 4 B5 IP55,VN07200010046115004,BPT_02A01,11/27/2022,hết bảo hành,
21,LMT_2111008,11/27/2021,Thép Nam Kim 2,PO_4000008919,830720106,BN 71B 4 B5 IP55,VN07200010046115007,BPT_02A01,11/27/2022,hết bảo hành,
22,LMT_2011009,11/25/2021,Huy Thông,,MEA102380029,C 32 2 F 29.8 S3 V1 DL M 3SA 4 IP56,VN01210017458,BPT_13A03,11/25/2022,hết bảo hành,
23,LMT_2011009,11/25/2021,Huy Thông,,MEA102380029,C 32 2 F 29.8 S3 V1 DL M 3SA 4 IP56,VN01210017457,BPT_13A03,11/25/2022,hết bảo hành,
24,LMT_2011009,11/25/2021,Huy Thông,,MEA102380029,C 32 2 F 29.8 S3 V1 DL M 3SA 4 IP56,VN01210017455,BPT_13A03,11/25/2022,hết bảo hành,
25,LMT_2011009,11/25/2021,Huy Thông,,MEA102380029,C 32 2 F 29.8 S3 V1 DL M 3SA 4 IP56,VN01210017456,BPT_13A03,11/25/2022,hết bảo hành,
26,LMT_2111010,11/26/2021,Arico,,2G30013341,WR 86 U 240 P80 B5 B3,VN01200000102081880002,BPT_06A04,11/26/2022,hết bảo hành,
27,LMT_2111010,11/26/2021,Arico,,8D30030078,BN 80A 6 B5 CLF IP56,VN01211233608,BPT_48A01,11/26/2022,hết bảo hành,
28,LMT_2111010,12/2/2021,Arico,,#N/A,#N/A,BVNFCW86210005,#N/A,12/2/2022,hết bảo hành,- Giao bổ sung ngày 2/12
29,LMT_2111011,11/26/2021,Kim Vinh Hưng,,ME60G0480006,A 30 2 UH35 39.3 S3 B3 M 3SA 4,VN01211254607,BPT_48A01,11/26/2022,hết bảo hành,
30,LMT_2111011,11/26/2021,Kim Vinh Hưng,,ME60G0480006,A 30 2 UH35 39.3 S3 B3 M 3SA 4,VN01211254610,BPT_48A01,11/26/2022,hết bảo hành,
31,LMT_2111011,11/26/2021,Kim Vinh Hưng,,ME60G0480006,A 30 2 UH35 39.3 S3 B3 M 3SA 4,VN01211254608,BPT_48A01,11/26/2022,hết bảo hành,
