STT,Ngày nhập,PO,Ngày xuất,Tên pallet,Position,Model code,Model, Main S/N,Second S/N,COC,Status,NOTE,,,,,,
1,4/30/2021,,7/11/2022,BPT_06A02,,MEA70228001Q,C 22 2 F 12.4 S2 V1 M 2SA 4,VN0190000096332390005,VN10190009626344003,,,,,,,,,
2,4/30/2021,,10/11/2022,BPT_06A02,,MEA70228001Q,C 22 2 F 12.4 S2 V1 M 2SA 4,VN0190000096332390004,VN10190009626344004,,,,,,,,,
3,4/30/2021,,#N/A,BPT_06A02,06_B,MEA70228001Q,C 22 2 F 12.4 S2 V1 M 2SA 4,,,,,,,,,,,
4,4/30/2021,,#N/A,BPT_06A02,06_B,MEA70228001Q,C 22 2 F 12.4 S2 V1 M 2SA 4,,,,,,,,,,,
5,4/30/2021,,12/15/2021,BPT_06A02,,MEA80278001H,C 12 2 F 15.4 S05 V1 DL M 05C 4,VN0111200000102105510010,VN11200010210589003,,,,,,,,,
6,4/30/2021,,2/17/2022,BPT_06A02,,2G20011231,W 63 U 19 P71 B5 B3,VN01200000101526320005,,,,,,,,,,
7,4/30/2021,,#N/A,BPT_06A02,06_B,2G20011231,W 63 U 19 P71 B5 B3,,,,,,,,,,,
8,4/30/2021,,#N/A,BPT_06A02,06_B,2G20011231,W 63 U 19 P71 B5 B3,,,,,,,,,,,
9,4/30/2021,,#N/A,BPT_06A02,06_B,2G22013031,WR 63 U 240 P71 B5 B3,,,,,,,,,,,
10,4/30/2021,,#N/A,BPT_06A02,06_B,MEA10228001T,C 32 2 F 29.8 S2 V1 DL M 2SB 4 IP56,,,,,,,,,,,
11,4/30/2021,,6/6/2022,BPT_04A03,,2EA10248000X,C 32 2 F 25.1 P90 V1 DL,VN01210772726,,,,,,,,,,
12,4/30/2021,,#N/A,BPT_04A03,04_A,2EA10248000X,C 32 2 F 25.1 P90 V1 DL,,,,,,,,,,,
13,4/30/2021,,#N/A,BPT_04A03,04_A,2EA10248000X,C 32 2 F 25.1 P90 V1 DL,,,,,,,,,,,
14,4/30/2021,,#N/A,BPT_04A03,04_A,2EA10248000X,C 32 2 F 25.1 P90 V1 DL,,,,,,,,,,,
15,4/30/2021,,#N/A,BPT_04A03,04_A,2EA10248000X,C 32 2 F 25.1 P90 V1 DL,,,,,,,,,,,
16,4/30/2021,,#N/A,BPT_04A03,04_A,2EA10248000X,C 32 2 F 25.1 P90 V1 DL,,,,,,,,,,,
17,4/30/2021,,#N/A,BPT_04A03,04_A,2EA102380011,C 32 2 F 40.7 P80 V1 DL,,,,,,,,,,,
18,4/30/2021,,#N/A,BPT_04A03,04_A,2EA102380011,C 32 2 F 40.7 P80 V1 DL,,,,,,,,,,,
19,4/30/2021,,#N/A,BPT_04A03,04_A,2EA102380011,C 32 2 F 40.7 P80 V1 DL,,,,,,,,,,,
20,4/30/2021,,#N/A,BPT_04A03,04_A,2EA102380011,C 32 2 F 40.7 P80 V1 DL,,,,,,,,,,,
21,4/30/2021,,#N/A,BPT_04A03,04_A,2EA102380011,C 32 2 F 40.7 P80 V1 DL,,,,,,,,,,,
22,4/30/2021,,#N/A,BPT_04A03,04_A,2EA102380011,C 32 2 F 40.7 P80 V1 DL,,,,,,,,,,,
23,4/30/2021,,#N/A,BPT_08A05,XYZ,ME170524000U,C 41 3 UFA 51.5 S3 V1 DL M 3SA 4 ,,,,,,,,,,,
24,4/30/2021,,#N/A,BPT_05A01,05_A,ME170524000U,C 41 3 UFA 51.5 S3 V1 DL M 3SA 4 ,,,,,,,,,,,
25,4/30/2021,,#N/A,BPT_05A01,05_A,ME170524000U,C 41 3 UFA 51.5 S3 V1 DL M 3SA 4 ,,,,,,,,,,,
26,4/30/2021,,#N/A,BPT_05A01,05_A,ME170524000U,C 41 3 UFA 51.5 S3 V1 DL M 3SA 4 ,,,,,,,,,,,
27,4/30/2021,,#N/A,BPT_05A01,05_A,ME170524000U,C 41 3 UFA 51.5 S3 V1 DL M 3SA 4 ,,,,,,,,,,,
28,4/30/2021,,#N/A,BPT_05A01,05_A,ME170524000U,C 41 3 UFA 51.5 S3 V1 DL M 3SA 4 ,,,,,,,,,,,
29,4/30/2021,,#N/A,BPT_05A01,05_A,ME170524000U,C 41 3 UFA 51.5 S3 V1 DL M 3SA 4 ,,,,,,,,,,,
30,4/30/2021,,#N/A,BPT_05A03,06_A,MEA30538000D,C 36 2 UFA 14.8 S3 V1 DL M 3LA 4 ,,,,,,,,,,,
31,4/30/2021,,#N/A,BPT_05A03,06_A,MEA30538000D,C 36 2 UFA 14.8 S3 V1 DL M 3LA 4 ,,,,,,,,,,,
32,4/30/2021,,#N/A,BPT_05A03,06_A,MEA30538000D,C 36 2 UFA 14.8 S3 V1 DL M 3LA 4 ,,,,,,,,,,,
33,4/30/2021,,#N/A,BPT_05A03,06_A,MEA30538000D,C 36 2 UFA 14.8 S3 V1 DL M 3LA 4 ,,,,,,,,,,,
34,4/30/2021,,#N/A,BPT_05A03,06_A,MEA30538000D,C 36 2 UFA 14.8 S3 V1 DL M 3LA 4 ,,,,,,,,,,,
35,4/30/2021,,#N/A,BPT_05A03,06_A,MEA30538000D,C 36 2 UFA 14.8 S3 V1 DL M 3LA 4 ,,,,,,,,,,,
36,4/30/2021,,#N/A,BPT_05A03,06_A,MEA30538000D,C 36 2 UFA 14.8 S3 V1 DL M 3LA 4 ,,,,,,,,,,,
37,4/30/2021,,#N/A,BPT_05A03,06_A,MEA30538000D,C 36 2 UFA 14.8 S3 V1 DL M 3LA 4 ,,,,,,,,,,,
38,4/30/2021,,3/2/2022,BPT_01A01,,2T304L4A18000M,3 04 L4 1018 FP P71 T G0A,SK17006101,,,,,,,,,,
39,4/30/2021,,#N/A,BPT_04A02,04_B,ME1501600004,C 41 2 P 37.1 S3 B3 M 3SA 4,,,,,,,,,,,
40,4/30/2021,,#N/A,BPT_04A02,04_B,MEA10121000J,C 32 2 P 40.7 S2 B3 M 2SA 4,,,,,,,,,,,
41,4/30/2021,,12/6/2021,BPT_04A02,,2EA30151000A,C 36 2 P 19.0 P100 B3,VN01210567589,,,,,,,,,,
42,4/30/2021,,#N/A,BPT_04A02,04_B,2EA30151000A,C 36 2 P 19.0 P100 B3,,,,,,,,,,,
43,4/30/2021,,#N/A,BPT_09A01,09_A,MEA7012100CJ,C 22 2 P 20.0 S2 B3 M 2SA 4 W20 RAL7042 C3,VN01210070455,VN01210010301681033,,,,,,,,,
44,4/30/2021,,#N/A,BPT_09A01,09_A,MEA7012100CJ,C 22 2 P 20.0 S2 B3 M 2SA 4 W20 RAL7042 C3,VN01210070453,VN01210010301681034,,,,,,,,,
45,4/30/2021,,#N/A,BPT_09A01,09_A,MEA7012100CJ,C 22 2 P 20.0 S2 B3 M 2SA 4 W20 RAL7042 C3,VN01210070457,VN01210010301681032,,,,,,,,,
46,4/30/2021,,#N/A,BPT_09A01,09_A,MEA7012100CJ,C 22 2 P 20.0 S2 B3 M 2SA 4 W20 RAL7042 C3,VN01210070454,VN01210010301681035,,,,,,,,,
